Order_ID,Order_Create_Date,Order_Pickup_Date,Order_Pickup_Store,Pickup_Store_Name,Pickup_Store_Address,Pickup_Store_Phone,Pickup_Store_City,Pickup_Store_State_Name,Order_Return_Date,Order_Return_Store,Return_Store_Name,Return_Store_Address,Return_Store_Phone,Return_Store_City,Return_Store_State,Customer_ID,Customer_Name,Customer_Phone,Customer_Address,Customer_Birthday,Customer_Occupation,Customer_Gender,Car_ID,Car_MakeName,Car_Model,Car_Series,Car_SeriesYear,Car_PriceNew,Car_EngineSize,Car_FuelSystem,Car_TankCapacity,Car_Power,Car_SeatingCapacity,Car_StandardTransmission,Car_BodyType,Car_Drive,Car_Wheelbase,Customer_Password
403,07-08-06,07-08-06,3,Darlinghurst_store,5844 Linden Land,543-535-0184,Darlinghurst                  ,New South Wales,12-08-06,3,Darlinghurst_store,5844 Linden Land,543-535-0184,Darlinghurst                  ,New South Wales,11415,Randy S,543-535-014,o?str 5538,15-06-48,Manager,M  ,15203,CHRYSLER,VOYAGER,GS SE,1999,48200,3.3L,MULTI POINT F/INJ,76L,116Kw,7,4A,4D WAGON,FWD,2878mm,
404,08-08-06,09-08-06,4,Goulburn_store,1825 Village Pl.,543-535-0162,Goulburn                      ,New South Wales,19-08-06,15,Silverwater_store,9011 Tank Drive,431-535-0156,Silverwater                   ,New South Wales,11410,Maurice G,543-535-017,"5, avenue de la Gare",25-08-72,Manager,M  ,15204,CHRYSLER,PT CRUISER,MY06 CLASSIC,2005,31990,2.4L,MULTI POINT F/INJ,57L,105Kw,5,4A,5D HATCHBACK,FWD,2616mm,
405,09-08-06,09-08-06,5,Lane Cove_store,7553 Harness Circle,543-535-0131,Lane Cove                     ,New South Wales,08-09-06,34,Geelong_store,5927 Rainbow Dr,543-535-0137,Geelong                       ,Victoria,11418,Rafael H,543-535-015,eiter Weg 7765,19-02-49,Manager,M  ,15205,CHRYSLER,PT CRUISER,CLASSIC,2001,35200,2.0L,MULTI POINT F/INJ,57L,104Kw,5,5M,5D HATCHBACK,FWD,2616mm,
407,11-08-06,11-08-06,23,Gold Coast_store,1769 Nicholas Drive,589-535-0185,Gold Coast                    ,Queensland,19-08-06,14,Rhodes_store,7902 Hudson Ave.,817-535-0185,Rhodes                        ,New South Wales,11411,Devin R,543-535-017,ostenweg 2428,22-02-58,Manager,M  ,15207,CHRYSLER,300C,LE MY06 SRT8,2006,71990,6.1L,MULTI POINT F/INJ,71L,317Kw,5,5A,4D SEDAN,RWD,3050mm,
408,12-08-06,13-08-06,8,Matraville_store,942 Brook Street,543-535-0126,Matraville                    ,New South Wales,23-08-06,19,Wollongong_store,244 Rivewview,543-535-0137,Wollongong                    ,New South Wales,11416,Katrina B,543-535-015,"205, rue Malar",29-03-49,Manager,F  ,15208,CHRYSLER,GRAND VOYAGER,RG SE,2004,59090,3.3L,MULTI POINT F/INJ,75L,128Kw,7,4A,4D WAGON,FWD,3030mm,
409,13-08-06,13-08-06,9,Milsons Point_store,624 Peabody Road,543-535-0164,Milsons Point                 ,New South Wales,22-08-06,9,Milsons Point_store,624 Peabody Road,543-535-0164,Milsons Point                 ,New South Wales,11416,Katrina B,543-535-015,"205, rue Malar",29-03-49,Manager,F  ,15209,CHRYSLER,NEON,SE,1997,24880,2.0L,ELECTRONIC F/INJ,47L,98Kw,5,3A,4D SEDAN,FWD,2642mm,
410,14-08-06,14-08-06,29,Findon_store,9111 Rose Ann Ave,543-535-0116,Findon                        ,South Australia,15-09-06,29,Findon_store,9111 Rose Ann Ave,543-535-0116,Findon                        ,South Australia,11412,Sydney B,543-535-015,ostfach 99 92 92,19-04-58,Manager,M  ,15210,CHRYSLER,PT CRUISER,CLASSIC,2004,32490,2.0L,MULTI POINT F/INJ,57L,104Kw,5,4A,5D HATCHBACK,FWD,2616mm,
411,15-08-06,15-08-06,11,North Ryde_store,7800 Corrinne Court,543-535-0169,North Ryde                    ,New South Wales,21-08-06,17,St. Leonards_store,9666 Northridge Ct.,135-535-0171,St. Leonards                  ,New South Wales,11419,Kyle S,543-535-017,381 Alpine Rd.,07-02-49,Manager,M  ,15200,CHRYSLER,300C,LE MY06 CRD,2006,57990,3.0L,DIESEL TURBO F/INJ,71L,160Kw,5,5A,4D SEDAN,RWD,3050mm,
412,16-08-06,16-08-06,31,Hobart_store,636 Vine Hill Way,543-535-0182,Hobart                        ,Tasmania,17-09-06,31,Hobart_store,636 Vine Hill Way,543-535-0182,Hobart                        ,Tasmania,11412,Sydney B,543-535-015,ostfach 99 92 92,19-04-58,Manager,M  ,15181,PEUGEOT,206,XR,2003,21990,1.6L,MULTI POINT F/INJ,50L,82Kw,5,5M,3D HATCHBACK,FWD,2442mm,
414,18-08-06,19-08-06,14,Rhodes_store,7902 Hudson Ave.,817-535-0185,Rhodes                        ,New South Wales,09-09-06,36,Melton_store,1873 Mt. Whitney Dr,543-535-0177,Melton                        ,Victoria,11416,Katrina B,543-535-015,"205, rue Malar",29-03-49,Manager,F  ,15207,CHRYSLER,300C,LE MY06 SRT8,2006,71990,6.1L,MULTI POINT F/INJ,71L,317Kw,5,5A,4D SEDAN,RWD,3050mm,
415,19-08-06,19-08-06,15,Silverwater_store,9011 Tank Drive,431-535-0156,Silverwater                   ,New South Wales,06-09-06,33,Cranbourne_store,626 Bentley Street,543-535-0169,Cranbourne                    ,Victoria,11419,Kyle S,543-535-017,381 Alpine Rd.,07-02-49,Manager,M  ,15204,CHRYSLER,PT CRUISER,MY06 CLASSIC,2005,31990,2.4L,MULTI POINT F/INJ,57L,105Kw,5,4A,5D HATCHBACK,FWD,2616mm,
416,20-08-06,21-08-06,14,Rhodes_store,7902 Hudson Ave.,817-535-0185,Rhodes                        ,New South Wales,25-08-06,14,Rhodes_store,7902 Hudson Ave.,817-535-0185,Rhodes                        ,New South Wales,11411,Devin R,543-535-017,ostenweg 2428,22-02-58,Manager,M  ,15202,CHRYSLER,CROSSFIRE,ZH ROADSTER,2005,75990,3.2L,MULTI POINT F/INJ,60L,160Kw,2,5ASeq,2D CONVERTIBLE,RWD,2400mm,
417,21-08-06,21-08-06,17,St. Leonards_store,9666 Northridge Ct.,135-535-0171,St. Leonards                  ,New South Wales,06-09-06,32,Bendigo_store,6465 Detroit Ave.,543-535-0195,Bendigo                       ,Victoria,11413,Megan S,543-535-011,192 Seagull Court,25-04-58,Manager,F  ,15200,CHRYSLER,300C,LE MY06 CRD,2006,57990,3.0L,DIESEL TURBO F/INJ,71L,160Kw,5,5A,4D SEDAN,RWD,3050mm,
418,22-08-06,22-08-06,19,Wollongong_store,244 Rivewview,543-535-0137,Wollongong                    ,New South Wales,10-09-06,18,Sydney_store,7330 Saddlehill Lane,543-535-0195,Sydney                        ,New South Wales,11414,Ian R,543-535-011,26 W. Buchanan Rd.,07-03-58,Manager,M  ,15199,CHRYSLER,VALIANT,CM GLX,1979,8014,4.3L,CARB,79L,120Kw,5,3A,4D SEDAN,RWD,2820mm,
419,23-08-06,23-08-06,19,Wollongong_store,244 Rivewview,543-535-0137,Wollongong                    ,New South Wales,28-08-06,13,Port Macquarie_store,4785 Scott Street,717-535-0164,Port Macquarie                ,New South Wales,11419,Kyle S,543-535-017,381 Alpine Rd.,07-02-49,Manager,M  ,15208,CHRYSLER,GRAND VOYAGER,RG SE,2004,59090,3.3L,MULTI POINT F/INJ,75L,128Kw,7,4A,4D WAGON,FWD,3030mm,
420,24-08-06,25-08-06,20,Brisbane_store,7832 Landing Dr,262-535-0112,Brisbane                      ,Queensland,04-09-06,11,North Ryde_store,7800 Corrinne Court,543-535-0169,North Ryde                    ,New South Wales,11418,Rafael H,543-535-015,eiter Weg 7765,19-02-49,Manager,M  ,15220,CHRYSLER,VOYAGER,RG 05 UPGRADE LX,2004,62980,3.3L,MULTI POINT F/INJ,75L,128Kw,7,4A,4D WAGON,FWD,3030mm,
421,25-08-06,25-08-06,21,Caloundra_store,7156 Rose Dr.,550-535-0163,Caloundra                     ,Queensland,14-09-06,21,Caloundra_store,7156 Rose Dr.,550-535-0163,Caloundra                     ,Queensland,11416,Katrina B,543-535-015,"205, rue Malar",29-03-49,Manager,F  ,15221,CHRYSLER,PT CRUISER,LIMITED,2004,38490,2.0L,MULTI POINT F/INJ,57L,104Kw,5,4A,5D HATCHBACK,FWD,2616mm,
422,26-08-06,27-08-06,20,Brisbane_store,7832 Landing Dr,262-535-0112,Brisbane                      ,Queensland,11-09-06,20,Brisbane_store,7832 Landing Dr,262-535-0112,Brisbane                      ,Queensland,11411,Devin R,543-535-017,ostenweg 2428,22-02-58,Manager,M  ,15222,CHRYSLER,VOYAGER,GS SE,2001,46900,3.3L,MULTI POINT F/INJ,76L,116Kw,7,4A,4D WAGON,FWD,2878mm,
423,27-08-06,27-08-06,23,Gold Coast_store,1769 Nicholas Drive,589-535-0185,Gold Coast                    ,Queensland,08-09-06,12,North Sydney_store,1224 Shoenic,543-535-0117,North Sydney                  ,New South Wales,11418,Rafael H,543-535-015,eiter Weg 7765,19-02-49,Manager,M  ,15223,MAZDA,323,PROTEGE,1999,20990,1.6L,MULTI POINT F/INJ,55L,78Kw,5,5M,4D SEDAN,FWD,2610mm,
424,28-08-06,28-08-06,24,Hawthorne_store,4499 Valley Crest,452-535-0188,Hawthorne                     ,Queensland,26-09-06,14,Rhodes_store,7902 Hudson Ave.,817-535-0185,Rhodes                        ,New South Wales,11415,Randy S,543-535-014,o?str 5538,15-06-48,Manager,M  ,15224,MAZDA,323,ASTINA,1997,35700,2.0L,MULTI POINT F/INJ,55L,104Kw,5,5M,5D HATCHBACK,FWD,2605mm,
425,29-08-06,29-08-06,26,Rockhampton_store,2596 Franklin Canyon Road,543-535-0178,Rockhampton                   ,Queensland,25-09-06,26,Rockhampton_store,2596 Franklin Canyon Road,543-535-0178,Rockhampton                   ,Queensland,11412,Sydney B,543-535-015,ostfach 99 92 92,19-04-58,Manager,M  ,15225,MAZDA,323,ASTINA SHADES,2001,20490,1.6L,MULTI POINT F/INJ,55L,78Kw,5,5M,5D HATCHBACK,FWD,2605mm,
426,30-08-06,30-08-06,24,Hawthorne_store,4499 Valley Crest,452-535-0188,Hawthorne                     ,Queensland,15-09-06,24,Hawthorne_store,4499 Valley Crest,452-535-0188,Hawthorne                     ,Queensland,11411,Devin R,543-535-017,ostenweg 2428,22-02-58,Manager,M  ,15226,MAZDA,323,DELUXE,1983,8835,1.5L,CARB,45L,54Kw,4,5M,4D WAGON,RWD,2315mm,
427,31-08-06,31-08-06,25,Hervey Bay_store,8734 Oxford Place,746-535-0186,Hervey Bay                    ,Queensland,16-09-06,25,Hervey Bay_store,8734 Oxford Place,746-535-0186,Hervey Bay                    ,Queensland,11411,Devin R,543-535-017,ostenweg 2428,22-02-58,Manager,M  ,15227,MAZDA,323,PROTEGE SHADES,2000,19715,1.6L,MULTI POINT F/INJ,55L,78Kw,5,5M,4D SEDAN,FWD,2610mm,
428,01-09-06,02-09-06,28,Cloverdale_store,213 Valencia Place,543-535-0184,Cloverdale                    ,South Australia,10-09-06,28,Cloverdale_store,213 Valencia Place,543-535-0184,Cloverdale                    ,South Australia,11413,Megan S,543-535-011,192 Seagull Court,25-04-58,Manager,F  ,15228,MAZDA,323,PROTEGE,1997,22915,1.8L,MULTI POINT F/INJ,55L,92Kw,5,5M,4D SEDAN,FWD,2605mm,
429,02-09-06,02-09-06,24,Hawthorne_store,4499 Valley Crest,452-535-0188,Hawthorne                     ,Queensland,07-09-06,24,Hawthorne_store,4499 Valley Crest,452-535-0188,Hawthorne                     ,Queensland,11411,Devin R,543-535-017,ostenweg 2428,22-02-58,Manager,M  ,15229,MAZDA,323,ASTINA,1995,31050,1.8L,MULTI POINT F/INJ,55L,92Kw,5,4A,5D HATCHBACK,FWD,2605mm,
430,03-09-06,03-09-06,30,Perth_store,6385 Mark Twain,543-535-0146,Perth                         ,South Australia,12-09-06,30,Perth_store,6385 Mark Twain,543-535-0146,Perth                         ,South Australia,11416,Katrina B,543-535-015,"205, rue Malar",29-03-49,Manager,F  ,15230,MAZDA,323,PROTEGE,1998,22915,1.8L,MULTI POINT F/INJ,55L,92Kw,5,5M,4D SEDAN,FWD,2605mm,
431,04-09-06,04-09-06,11,North Ryde_store,7800 Corrinne Court,543-535-0169,North Ryde                    ,New South Wales,12-09-06,19,Wollongong_store,244 Rivewview,543-535-0137,Wollongong                    ,New South Wales,11414,Ian R,543-535-011,26 W. Buchanan Rd.,07-03-58,Manager,M  ,15220,CHRYSLER,VOYAGER,RG 05 UPGRADE LX,2004,62980,3.3L,MULTI POINT F/INJ,75L,128Kw,7,4A,4D WAGON,FWD,3030mm,
432,05-09-06,06-09-06,32,Bendigo_store,6465 Detroit Ave.,543-535-0195,Bendigo                       ,Victoria,12-09-06,38,South Melbourne_store,8915 Woodside Way,229-535-0112,South Melbourne               ,Victoria,11415,Randy S,543-535-014,o?str 5538,15-06-48,Manager,M  ,15200,CHRYSLER,300C,LE MY06 CRD,2006,57990,3.0L,DIESEL TURBO F/INJ,71L,160Kw,5,5A,4D SEDAN,RWD,3050mm,
433,06-09-06,06-09-06,33,Cranbourne_store,626 Bentley Street,543-535-0169,Cranbourne                    ,Victoria,14-09-06,33,Cranbourne_store,626 Bentley Street,543-535-0169,Cranbourne                    ,Victoria,11418,Rafael H,543-535-015,eiter Weg 7765,19-02-49,Manager,M  ,15204,CHRYSLER,PT CRUISER,MY06 CLASSIC,2005,31990,2.4L,MULTI POINT F/INJ,57L,105Kw,5,4A,5D HATCHBACK,FWD,2616mm,
434,07-09-06,08-09-06,34,Geelong_store,5927 Rainbow Dr,543-535-0137,Geelong                       ,Victoria,10-09-06,37,Seaford_store,3981 Augustine Drive,115-535-0183,Seaford                       ,Victoria,11410,Maurice G,543-535-017,"5, avenue de la Gare",25-08-72,Manager,M  ,15205,CHRYSLER,PT CRUISER,CLASSIC,2001,35200,2.0L,MULTI POINT F/INJ,57L,104Kw,5,5M,5D HATCHBACK,FWD,2616mm,
435,08-09-06,08-09-06,12,North Sydney_store,1224 Shoenic,543-535-0117,North Sydney                  ,New South Wales,13-09-06,12,North Sydney_store,1224 Shoenic,543-535-0117,North Sydney                  ,New South Wales,11411,Devin R,543-535-017,ostenweg 2428,22-02-58,Manager,M  ,15223,MAZDA,323,PROTEGE,1999,20990,1.6L,MULTI POINT F/INJ,55L,78Kw,5,5M,4D SEDAN,FWD,2610mm,
436,09-09-06,09-09-06,36,Melton_store,1873 Mt. Whitney Dr,543-535-0177,Melton                        ,Victoria,17-09-06,36,Melton_store,1873 Mt. Whitney Dr,543-535-0177,Melton                        ,Victoria,11418,Rafael H,543-535-015,eiter Weg 7765,19-02-49,Manager,M  ,15207,CHRYSLER,300C,LE MY06 SRT8,2006,71990,6.1L,MULTI POINT F/INJ,71L,317Kw,5,5A,4D SEDAN,RWD,3050mm,
437,10-09-06,10-09-06,37,Seaford_store,3981 Augustine Drive,115-535-0183,Seaford                       ,Victoria,15-09-06,37,Seaford_store,3981 Augustine Drive,115-535-0183,Seaford                       ,Victoria,11415,Randy S,543-535-014,o?str 5538,15-06-48,Manager,M  ,15205,CHRYSLER,PT CRUISER,CLASSIC,2001,35200,2.0L,MULTI POINT F/INJ,57L,104Kw,5,5M,5D HATCHBACK,FWD,2616mm,
438,11-09-06,12-09-06,38,South Melbourne_store,8915 Woodside Way,229-535-0112,South Melbourne               ,Victoria,20-09-06,38,South Melbourne_store,8915 Woodside Way,229-535-0112,South Melbourne               ,Victoria,11416,Katrina B,543-535-015,"205, rue Malar",29-03-49,Manager,F  ,15200,CHRYSLER,300C,LE MY06 CRD,2006,57990,3.0L,DIESEL TURBO F/INJ,71L,160Kw,5,5A,4D SEDAN,RWD,3050mm,
439,12-09-06,12-09-06,19,Wollongong_store,244 Rivewview,543-535-0137,Wollongong                    ,New South Wales,20-09-06,39,Sunbury_store,8357 Sandy Cove Lane,543-535-0114,Sunbury                       ,Victoria,11414,Ian R,543-535-011,26 W. Buchanan Rd.,07-03-58,Manager,M  ,15220,CHRYSLER,VOYAGER,RG 05 UPGRADE LX,2004,62980,3.3L,MULTI POINT F/INJ,75L,128Kw,7,4A,4D WAGON,FWD,3030mm,
440,13-09-06,14-09-06,40,Warrnambool_store,9353 Creekside Dr.,543-535-0183,Warrnambool                   ,Victoria,14-09-06,1,Alexandria_stroe,3761 N. 14th St,543-535-0162,Alexandria                    ,New South Wales,11418,Rafael H,543-535-015,eiter Weg 7765,19-02-49,Manager,M  ,15241,MAZDA,323,ASTINA,1993,25715,1.8L,MULTI POINT F/INJ,55L,76Kw,5,5M,5D HATCHBACK,FWD,2500mm,
441,14-09-06,14-09-06,1,Alexandria_stroe,3761 N. 14th St,543-535-0162,Alexandria                    ,New South Wales,26-09-06,13,Port Macquarie_store,4785 Scott Street,717-535-0164,Port Macquarie                ,New South Wales,11418,Rafael H,543-535-015,eiter Weg 7765,19-02-49,Manager,M  ,15241,MAZDA,323,ASTINA,1993,25715,1.8L,MULTI POINT F/INJ,55L,76Kw,5,5M,5D HATCHBACK,FWD,2500mm,
442,15-09-06,16-09-06,2,Coffs Harbour_store,2243 W St.,543-535-0110,Coffs Harbour                 ,New South Wales,28-09-06,14,Rhodes_store,7902 Hudson Ave.,817-535-0185,Rhodes                        ,New South Wales,11415,Randy S,543-535-014,o?str 5538,15-06-48,Manager,M  ,15242,MAZDA,323,ASTINA SHADES,2000,19715,1.6L,MULTI POINT F/INJ,55L,78Kw,5,5M,5D HATCHBACK,FWD,2605mm,
443,16-09-06,16-09-06,3,Darlinghurst_store,5844 Linden Land,543-535-0184,Darlinghurst                  ,New South Wales,28-09-06,15,Silverwater_store,9011 Tank Drive,431-535-0156,Silverwater                   ,New South Wales,11416,Katrina B,543-535-015,"205, rue Malar",29-03-49,Manager,F  ,15243,MAZDA,323,ASTINA,1996,38270,2.0L,MULTI POINT F/INJ,55L,104Kw,5,5M,5D HATCHBACK,FWD,2605mm,
444,17-09-06,18-09-06,4,Goulburn_store,1825 Village Pl.,543-535-0162,Goulburn                      ,New South Wales,06-10-06,22,East Brisbane_store,8148 W. Lake Dr.,622-535-0158,East Brisbane                 ,Queensland,11410,Maurice G,543-535-017,"5, avenue de la Gare",25-08-72,Manager,M  ,15244,MAZDA,323,ASTINA,1998,28480,1.8L,MULTI POINT F/INJ,55L,92Kw,5,4A,5D HATCHBACK,FWD,2605mm,
445,18-09-06,18-09-06,25,Hervey Bay_store,8734 Oxford Place,746-535-0186,Hervey Bay                    ,Queensland,10-10-06,27,Townsville_store,8211 Leeds Ct.,543-535-0131,Townsville                    ,Queensland,11412,Sydney B,543-535-015,ostfach 99 92 92,19-04-58,Manager,M  ,15245,MAZDA,323,SUPER DELUXE,1989,20210,1.6L,MULTI POINT F/INJ,48L,61Kw,5,4A,5D HATCHBACK,FWD,2400mm,
446,19-09-06,22-09-06,6,Lavender Bay_store,7305 Humphrey Drive,543-535-0151,Lavender Bay                  ,New South Wales,28-09-06,6,Lavender Bay_store,7305 Humphrey Drive,543-535-0151,Lavender Bay                  ,New South Wales,11416,Katrina B,543-535-015,"205, rue Malar",29-03-49,Manager,F  ,15246,MAZDA,323,PROTEGE,2003,21840,1.8L,MULTI POINT F/INJ,55L,92Kw,5,4A,4D SEDAN,FWD,2610mm,
447,20-09-06,20-09-06,7,Malabar_store,2612 Berry Dr,543-535-0184,Malabar                       ,New South Wales,02-10-06,19,Wollongong_store,244 Rivewview,543-535-0137,Wollongong                    ,New South Wales,11419,Kyle S,543-535-017,381 Alpine Rd.,07-02-49,Manager,M  ,15247,MAZDA,323,ASTINA,2003,21840,1.8L,MULTI POINT F/INJ,55L,92Kw,5,4A,5D HATCHBACK,FWD,2610mm,
448,21-09-06,22-09-06,28,Cloverdale_store,213 Valencia Place,543-535-0184,Cloverdale                    ,South Australia,12-10-06,10,Newcastle_store,3839 Northgate Road,543-535-0110,Newcastle                     ,New South Wales,11412,Sydney B,543-535-015,ostfach 99 92 92,19-04-58,Manager,M  ,15248,MAZDA,323,SUPER DELUXE,1988,19390,1.6L,CARB,48L,53Kw,5,3A,5D HATCHBACK,FWD,2400mm,
449,22-09-06,22-09-06,9,Milsons Point_store,624 Peabody Road,543-535-0164,Milsons Point                 ,New South Wales,10-10-06,17,St. Leonards_store,9666 Northridge Ct.,135-535-0171,St. Leonards                  ,New South Wales,11415,Randy S,543-535-014,o?str 5538,15-06-48,Manager,M  ,15249,MAZDA,323,ASTINA SHADES,1998,26990,1.8L,MULTI POINT F/INJ,55L,92Kw,5,5M,5D HATCHBACK,FWD,2605mm,
450,23-09-06,26-09-06,12,North Sydney_store,1224 Shoenic,543-535-0117,North Sydney                  ,New South Wales,11-10-06,10,Newcastle_store,3839 Northgate Road,543-535-0110,Newcastle                     ,New South Wales,11414,Ian R,543-535-011,26 W. Buchanan Rd.,07-03-58,Manager,M  ,15250,MAZDA,323,ASTINA SP,1994,30085,1.8L,MULTI POINT F/INJ,55L,92Kw,5,5M,5D HATCHBACK,FWD,2500mm,
451,24-09-06,25-09-06,26,Rockhampton_store,2596 Franklin Canyon Road,543-535-0178,Rockhampton                   ,Queensland,15-10-06,26,Rockhampton_store,2596 Franklin Canyon Road,543-535-0178,Rockhampton                   ,Queensland,11417,Lacey Z,543-535-017,", rue de Linois",26-02-49,Manager,F  ,15225,MAZDA,323,ASTINA SHADES,2001,20490,1.6L,MULTI POINT F/INJ,55L,78Kw,5,5M,5D HATCHBACK,FWD,2605mm,
452,25-09-06,26-09-06,14,Rhodes_store,7902 Hudson Ave.,817-535-0185,Rhodes                        ,New South Wales,16-10-06,14,Rhodes_store,7902 Hudson Ave.,817-535-0185,Rhodes                        ,New South Wales,11412,Sydney B,543-535-015,ostfach 99 92 92,19-04-58,Manager,M  ,15224,MAZDA,323,ASTINA,1997,35700,2.0L,MULTI POINT F/INJ,55L,104Kw,5,5M,5D HATCHBACK,FWD,2605mm,
453,26-09-06,26-09-06,13,Port Macquarie_store,4785 Scott Street,717-535-0164,Port Macquarie                ,New South Wales,12-10-06,29,Findon_store,9111 Rose Ann Ave,543-535-0116,Findon                        ,South Australia,11419,Kyle S,543-535-017,381 Alpine Rd.,07-02-49,Manager,M  ,15241,MAZDA,323,ASTINA,1993,25715,1.8L,MULTI POINT F/INJ,55L,76Kw,5,5M,5D HATCHBACK,FWD,2500mm,
454,27-09-06,28-09-06,14,Rhodes_store,7902 Hudson Ave.,817-535-0185,Rhodes                        ,New South Wales,10-10-06,24,Hawthorne_store,4499 Valley Crest,452-535-0188,Hawthorne                     ,Queensland,11419,Kyle S,543-535-017,381 Alpine Rd.,07-02-49,Manager,M  ,15242,MAZDA,323,ASTINA SHADES,2000,19715,1.6L,MULTI POINT F/INJ,55L,78Kw,5,5M,5D HATCHBACK,FWD,2605mm,
455,28-09-06,28-09-06,15,Silverwater_store,9011 Tank Drive,431-535-0156,Silverwater                   ,New South Wales,12-10-06,13,Port Macquarie_store,4785 Scott Street,717-535-0164,Port Macquarie                ,New South Wales,11415,Randy S,543-535-014,o?str 5538,15-06-48,Manager,M  ,15243,MAZDA,323,ASTINA,1996,38270,2.0L,MULTI POINT F/INJ,55L,104Kw,5,5M,5D HATCHBACK,FWD,2605mm,
456,29-09-06,29-09-06,13,Port Macquarie_store,4785 Scott Street,717-535-0164,Port Macquarie                ,New South Wales,03-10-06,17,St. Leonards_store,9666 Northridge Ct.,135-535-0171,St. Leonards                  ,New South Wales,11417,Lacey Z,543-535-017,", rue de Linois",26-02-49,Manager,F  ,15243,MAZDA,323,ASTINA,1996,38270,2.0L,MULTI POINT F/INJ,55L,104Kw,5,5M,5D HATCHBACK,FWD,2605mm,
457,30-09-06,30-09-06,17,St. Leonards_store,9666 Northridge Ct.,135-535-0171,St. Leonards                  ,New South Wales,08-10-06,25,Hervey Bay_store,8734 Oxford Place,746-535-0186,Hervey Bay                    ,Queensland,11416,Katrina B,543-535-015,"205, rue Malar",29-03-49,Manager,F  ,15249,MAZDA,323,ASTINA SHADES,1998,26990,1.8L,MULTI POINT F/INJ,55L,92Kw,5,5M,5D HATCHBACK,FWD,2605mm,
458,01-10-06,01-10-06,18,Sydney_store,7330 Saddlehill Lane,543-535-0195,Sydney                        ,New South Wales,10-10-06,18,Sydney_store,7330 Saddlehill Lane,543-535-0195,Sydney                        ,New South Wales,11413,Megan S,543-535-011,192 Seagull Court,25-04-58,Manager,F  ,15240,MAZDA,323,PROTEGE,2000,19715,1.6L,MULTI POINT F/INJ,55L,78Kw,5,5M,4D SEDAN,FWD,2610mm,
459,02-10-06,02-10-06,19,Wollongong_store,244 Rivewview,543-535-0137,Wollongong                    ,New South Wales,18-10-06,35,Melbourne_store,5167 Condor Place,543-535-0136,Melbourne                     ,Victoria,11419,Kyle S,543-535-017,381 Alpine Rd.,07-02-49,Manager,M  ,15247,MAZDA,323,ASTINA,2003,21840,1.8L,MULTI POINT F/INJ,55L,92Kw,5,4A,5D HATCHBACK,FWD,2610mm,
460,03-10-06,03-10-06,17,St. Leonards_store,9666 Northridge Ct.,135-535-0171,St. Leonards                  ,New South Wales,04-10-06,18,Sydney_store,7330 Saddlehill Lane,543-535-0195,Sydney                        ,New South Wales,11411,Devin R,543-535-017,ostenweg 2428,22-02-58,Manager,M  ,15243,MAZDA,323,ASTINA,1996,38270,2.0L,MULTI POINT F/INJ,55L,104Kw,5,5M,5D HATCHBACK,FWD,2605mm,
461,04-10-06,04-10-06,18,Sydney_store,7330 Saddlehill Lane,543-535-0195,Sydney                        ,New South Wales,07-10-06,20,Brisbane_store,7832 Landing Dr,262-535-0112,Brisbane                      ,Queensland,11411,Devin R,543-535-017,ostenweg 2428,22-02-58,Manager,M  ,15243,MAZDA,323,ASTINA,1996,38270,2.0L,MULTI POINT F/INJ,55L,104Kw,5,5M,5D HATCHBACK,FWD,2605mm,
462,05-10-06,06-10-06,22,East Brisbane_store,8148 W. Lake Dr.,622-535-0158,East Brisbane                 ,Queensland,10-10-06,26,Rockhampton_store,2596 Franklin Canyon Road,543-535-0178,Rockhampton                   ,Queensland,11416,Katrina B,543-535-015,"205, rue Malar",29-03-49,Manager,F  ,15244,MAZDA,323,ASTINA,1998,28480,1.8L,MULTI POINT F/INJ,55L,92Kw,5,4A,5D HATCHBACK,FWD,2605mm,
463,06-10-06,07-10-06,20,Brisbane_store,7832 Landing Dr,262-535-0112,Brisbane                      ,Queensland,16-10-06,32,Bendigo_store,6465 Detroit Ave.,543-535-0195,Bendigo                       ,Victoria,11411,Devin R,543-535-017,ostenweg 2428,22-02-58,Manager,M  ,15243,MAZDA,323,ASTINA,1996,38270,2.0L,MULTI POINT F/INJ,55L,104Kw,5,5M,5D HATCHBACK,FWD,2605mm,
464,07-10-06,10-10-06,24,Hawthorne_store,4499 Valley Crest,452-535-0188,Hawthorne                     ,Queensland,16-10-06,30,Perth_store,6385 Mark Twain,543-535-0146,Perth                         ,South Australia,11419,Kyle S,543-535-017,381 Alpine Rd.,07-02-49,Manager,M  ,15242,MAZDA,323,ASTINA SHADES,2000,19715,1.6L,MULTI POINT F/INJ,55L,78Kw,5,5M,5D HATCHBACK,FWD,2605mm,
465,08-10-06,08-10-06,25,Hervey Bay_store,8734 Oxford Place,746-535-0186,Hervey Bay                    ,Queensland,14-10-06,31,Hobart_store,636 Vine Hill Way,543-535-0182,Hobart                        ,Tasmania,11412,Sydney B,543-535-015,ostfach 99 92 92,19-04-58,Manager,M  ,15249,MAZDA,323,ASTINA SHADES,1998,26990,1.8L,MULTI POINT F/INJ,55L,92Kw,5,5M,5D HATCHBACK,FWD,2605mm,
