Order_ID,Order_Create_Date,Order_Pickup_Date,Order_Pickup_Store,Pickup_Store_Name,Pickup_Store_Address,Pickup_Store_Phone,Pickup_Store_City,Pickup_Store_State_Name,Order_Return_Date,Order_Return_Store,Return_Store_Name,Return_Store_Address,Return_Store_Phone,Return_Store_City,Return_Store_State,Customer_ID,Customer_Name,Customer_Phone,Customer_Address,Customer_Birthday,Customer_Occupation,Customer_Gender,Car_ID,Car_MakeName,Car_Model,Car_Series,Car_SeriesYear,Car_PriceNew,Car_EngineSize,Car_FuelSystem,Car_TankCapacity,Car_Power,Car_SeatingCapacity,Car_StandardTransmission,Car_BodyType,Car_Drive,Car_Wheelbase
401,04/08/2006,05/08/2006,16,Springwood_Store,244 Willow Pass Road,208-535-0142,Springwood,New South Wales,13/08/2006,9,Milsons Point_Store,624 Peabody Road,543-535-0164,Milsons Point ,New South Wales,11315,Hailey W,767-535-015,,11/10/1957,Manager,F,15209,CHRYSLER,NEON,SE,1997.0,24880.0,2.0L,ELECTRONIC F/INJ,47L,98Kw,5.0,3A,4D SEDAN,FWD,2642mm
402,05/08/2006,05/08/2006,1,Alexandria_stroe,3761 N. 14th St,543-535-0162,Alexandria,New South Wales,13/08/2006,1,Alexandria_stroe,3761 N. 14th St,543-535-0162,Alexandria,New South Wales,11410,Maurice G,543-535-017,,25/08/1972,Manager,M,15201,CHRYSLER,VOYAGER,RG SE,2002.0,52590.0,3.3L,MULTI POINT F/INJ,75L,128Kw,7.0,4A,4D WAGON,FWD,2787mm
403,06/08/2006,07/08/2006,2,Coffs Harbour_Store,2243 W St.,543-535-0110,Coffs Harbour ,New South Wales,21/08/2006,14,Rhodes_Store,7902 Hudson Ave.,817-535-0185,Rhodes,New South Wales,11419,Kyle S,543-535-017,,07/02/1949,Manager,M,15202,CHRYSLER,CROSSFIRE,ZH ROADSTER,2005.0,75990.0,3.2L,MULTI POINT F/INJ,60L,160Kw,2.0,5ASeq,2D CONVERTIBLE,RWD,2400mm
404,07/08/2006,07/08/2006,3,Darlinghurst_Store,5844 Linden Land,543-535-0184,Darlinghurst,New South Wales,12/08/2006,3,Darlinghurst_Store,5844 Linden Land,543-535-0184,Darlinghurst,New South Wales,11415,Randy S,543-535-014,,15/06/1948,Manager,M,15203,CHRYSLER,VOYAGER,GS SE,1999.0,48200.0,3.3L,MULTI POINT F/INJ,76L,116Kw,7.0,4A,4D WAGON,FWD,2878mm
405,08/08/2006,09/08/2006,4,Goulburn_Store,1825 Village Pl.,543-535-0162,Goulburn,New South Wales,19/08/2006,15,Silverwater_Store,9011 Tank Drive,431-535-0156,Silverwater ,New South Wales,11410,Maurice G,543-535-017,,25/08/1972,Manager,M,15204,CHRYSLER,PT CRUISER,MY06 CLASSIC,2005.0,31990.0,2.4L,MULTI POINT F/INJ,57L,105Kw,5.0,4A,5D HATCHBACK,FWD,2616mm
407,09/08/2006,09/08/2006,5,Lane Cove_Store,7553 Harness Circle,543-535-0131,Lane Cove ,New South Wales,08/09/2006,34,Geelong_Store,5927 Rainbow Dr,543-535-0137,Geelong ,Victoria,11418,Rafael H,543-535-015,,19/02/1949,Manager,M,15205,CHRYSLER,PT CRUISER,CLASSIC,2001.0,35200.0,2.0L,MULTI POINT F/INJ,57L,104Kw,5.0,5M,5D HATCHBACK,FWD,2616mm
408,11/08/2006,11/08/2006,23,Gold Coast_Store,1769 Nicholas Drive,589-535-0185,Gold Coast,Queensland,19/08/2006,14,Rhodes_Store,7902 Hudson Ave.,817-535-0185,Rhodes,New South Wales,11411,Devin R,543-535-017,,22/02/1958,Manager,M,15207,CHRYSLER,300C,LE MY06 SRT8,2006.0,71990.0,6.1L,MULTI POINT F/INJ,71L,317Kw,5.0,5A,4D SEDAN,RWD,3050mm
409,12/08/2006,13/08/2006,8,Matraville_Store,942 Brook Street,543-535-0126,Matraville,New South Wales,23/08/2006,19,Wollongong_Store,244 Rivewview,543-535-0137,Wollongong,New South Wales,11416,Katrina B,543-535-015,,29/03/1949,Manager,F,15208,CHRYSLER,GRAND VOYAGER,RG SE,2004.0,59090.0,3.3L,MULTI POINT F/INJ,75L,128Kw,7.0,4A,4D WAGON,FWD,3030mm
410,13/08/2006,13/08/2006,9,Milsons Point_Store,624 Peabody Road,543-535-0164,Milsons Point ,New South Wales,22/08/2006,9,Milsons Point_Store,624 Peabody Road,543-535-0164,Milsons Point ,New South Wales,11416,Katrina B,543-535-015,,29/03/1949,Manager,F,15209,CHRYSLER,NEON,SE,1997.0,24880.0,2.0L,ELECTRONIC F/INJ,47L,98Kw,5.0,3A,4D SEDAN,FWD,2642mm
411,14/08/2006,14/08/2006,29,Findon_Store,9111 Rose Ann Ave,543-535-0116,Findon,South Australia,15/09/2006,29,Findon_Store,9111 Rose Ann Ave,543-535-0116,Findon,South Australia,11412,Sydney B,543-535-015,,19/04/1958,Manager,M,15210,CHRYSLER,PT CRUISER,CLASSIC,2004.0,32490.0,2.0L,MULTI POINT F/INJ,57L,104Kw,5.0,4A,5D HATCHBACK,FWD,2616mm
412,15/08/2006,15/08/2006,11,North Ryde_Store,7800 Corrinne Court,543-535-0169,North Ryde,New South Wales,21/08/2006,17,St. Leonards_Store,9666 Northridge Ct.,135-535-0171,St. Leonards,New South Wales,11419,Kyle S,543-535-017,,07/02/1949,Manager,M,15200,CHRYSLER,300C,LE MY06 CRD,2006.0,57990.0,3.0L,DIESEL TURBO F/INJ,71L,160Kw,5.0,5A,4D SEDAN,RWD,3050mm
414,16/08/2006,16/08/2006,31,Hobart_Store,636 Vine Hill Way,543-535-0182,Hobart,Tasmania,17/09/2006,31,Hobart_Store,636 Vine Hill Way,543-535-0182,Hobart,Tasmania,11412,Sydney B,543-535-015,,19/04/1958,Manager,M,15181,PEUGEOT,206,XR,2003.0,21990.0,1.6L,MULTI POINT F/INJ,50L,82Kw,5.0,5M,3D HATCHBACK,FWD,2442mm
415,18/08/2006,19/08/2006,14,Rhodes_Store,7902 Hudson Ave.,817-535-0185,Rhodes,New South Wales,09/09/2006,36,Melton_Store,1873 Mt. Whitney Dr,543-535-0177,Melton,Victoria,11416,Katrina B,543-535-015,,29/03/1949,Manager,F,15207,CHRYSLER,300C,LE MY06 SRT8,2006.0,71990.0,6.1L,MULTI POINT F/INJ,71L,317Kw,5.0,5A,4D SEDAN,RWD,3050mm
416,19/08/2006,19/08/2006,15,Silverwater_Store,9011 Tank Drive,431-535-0156,Silverwater ,New South Wales,06/09/2006,33,Cranbourne_Store,626 Bentley Street,543-535-0169,Cranbourne,Victoria,11419,Kyle S,543-535-017,,07/02/1949,Manager,M,15204,CHRYSLER,PT CRUISER,MY06 CLASSIC,2005.0,31990.0,2.4L,MULTI POINT F/INJ,57L,105Kw,5.0,4A,5D HATCHBACK,FWD,2616mm
417,20/08/2006,21/08/2006,14,Rhodes_Store,7902 Hudson Ave.,817-535-0185,Rhodes,New South Wales,25/08/2006,14,Rhodes_Store,7902 Hudson Ave.,817-535-0185,Rhodes,New South Wales,11411,Devin R,543-535-017,,22/02/1958,Manager,M,15202,CHRYSLER,CROSSFIRE,ZH ROADSTER,2005.0,75990.0,3.2L,MULTI POINT F/INJ,60L,160Kw,2.0,5ASeq,2D CONVERTIBLE,RWD,2400mm
418,21/08/2006,21/08/2006,17,St. Leonards_Store,9666 Northridge Ct.,135-535-0171,St. Leonards,New South Wales,06/09/2006,32,Bendigo_Store,6465 Detroit Ave.,543-535-0195,Bendigo ,Victoria,11413,Megan S,543-535-011,,25/04/1958,Manager,F,15200,CHRYSLER,300C,LE MY06 CRD,2006.0,57990.0,3.0L,DIESEL TURBO F/INJ,71L,160Kw,5.0,5A,4D SEDAN,RWD,3050mm
419,22/08/2006,22/08/2006,19,Wollongong_Store,244 Rivewview,543-535-0137,Wollongong,New South Wales,10/09/2006,18,Sydney_Store,7330 Saddlehill Lane,543-535-0195,Sydney,New South Wales,11414,Ian R,543-535-011,,07/03/1958,Manager,M,15199,CHRYSLER,VALIANT,CM GLX,1979.0,8014.0,4.3L,CARB,79L,120Kw,5.0,3A,4D SEDAN,RWD,2820mm
420,23/08/2006,23/08/2006,19,Wollongong_Store,244 Rivewview,543-535-0137,Wollongong,New South Wales,28/08/2006,13,Port Macquarie_Store,4785 Scott Street,717-535-0164,Port Macquarie,New South Wales,11419,Kyle S,543-535-017,,07/02/1949,Manager,M,15208,CHRYSLER,GRAND VOYAGER,RG SE,2004.0,59090.0,3.3L,MULTI POINT F/INJ,75L,128Kw,7.0,4A,4D WAGON,FWD,3030mm
421,24/08/2006,25/08/2006,20,Brisbane_Store,7832 Landing Dr,262-535-0112,Brisbane,Queensland,04/09/2006,11,North Ryde_Store,7800 Corrinne Court,543-535-0169,North Ryde,New South Wales,11418,Rafael H,543-535-015,,19/02/1949,Manager,M,15220,CHRYSLER,VOYAGER,RG 05 UPGRADE LX,2004.0,62980.0,3.3L,MULTI POINT F/INJ,75L,128Kw,7.0,4A,4D WAGON,FWD,3030mm
422,25/08/2006,25/08/2006,21,Caloundra_Store,7156 Rose Dr.,550-535-0163,Caloundra ,Queensland,14/09/2006,21,Caloundra_Store,7156 Rose Dr.,550-535-0163,Caloundra ,Queensland,11416,Katrina B,543-535-015,,29/03/1949,Manager,F,15221,CHRYSLER,PT CRUISER,LIMITED,2004.0,38490.0,2.0L,MULTI POINT F/INJ,57L,104Kw,5.0,4A,5D HATCHBACK,FWD,2616mm
423,26/08/2006,27/08/2006,20,Brisbane_Store,7832 Landing Dr,262-535-0112,Brisbane,Queensland,11/09/2006,20,Brisbane_Store,7832 Landing Dr,262-535-0112,Brisbane,Queensland,11411,Devin R,543-535-017,,22/02/1958,Manager,M,15222,CHRYSLER,VOYAGER,GS SE,2001.0,46900.0,3.3L,MULTI POINT F/INJ,76L,116Kw,7.0,4A,4D WAGON,FWD,2878mm
424,27/08/2006,27/08/2006,23,Gold Coast_Store,1769 Nicholas Drive,589-535-0185,Gold Coast,Queensland,08/09/2006,12,North Sydney_Store,1224 Shoenic,543-535-0117,North Sydney,New South Wales,11418,Rafael H,543-535-015,,19/02/1949,Manager,M,15223,MAZDA,323,PROTEGE,1999.0,20990.0,1.6L,MULTI POINT F/INJ,55L,78Kw,5.0,5M,4D SEDAN,FWD,2610mm
425,28/08/2006,28/08/2006,24,Hawthorne_Store,4499 Valley Crest,452-535-0188,Hawthorne ,Queensland,26/09/2006,14,Rhodes_Store,7902 Hudson Ave.,817-535-0185,Rhodes,New South Wales,11415,Randy S,543-535-014,,15/06/1948,Manager,M,15224,MAZDA,323,ASTINA,1997.0,35700.0,2.0L,MULTI POINT F/INJ,55L,104Kw,5.0,5M,5D HATCHBACK,FWD,2605mm
426,29/08/2006,29/08/2006,26,Rockhampton_Store,2596 Franklin Canyon Road,543-535-0178,Rockhampton ,Queensland,25/09/2006,26,Rockhampton_Store,2596 Franklin Canyon Road,543-535-0178,Rockhampton ,Queensland,11412,Sydney B,543-535-015,,19/04/1958,Manager,M,15225,MAZDA,323,ASTINA SHADES,2001.0,20490.0,1.6L,MULTI POINT F/INJ,55L,78Kw,5.0,5M,5D HATCHBACK,FWD,2605mm
427,30/08/2006,30/08/2006,24,Hawthorne_Store,4499 Valley Crest,452-535-0188,Hawthorne ,Queensland,15/09/2006,24,Hawthorne_Store,4499 Valley Crest,452-535-0188,Hawthorne ,Queensland,11411,Devin R,543-535-017,,22/02/1958,Manager,M,15226,MAZDA,323,DELUXE,1983.0,8835.0,1.5L,CARB,45L,54Kw,4.0,5M,4D WAGON,RWD,2315mm
428,31/08/2006,31/08/2006,25,Hervey Bay_Store,8734 Oxford Place,746-535-0186,Hervey Bay,Queensland,16/09/2006,25,Hervey Bay_Store,8734 Oxford Place,746-535-0186,Hervey Bay,Queensland,11411,Devin R,543-535-017,,22/02/1958,Manager,M,15227,MAZDA,323,PROTEGE SHADES,2000.0,19715.0,1.6L,MULTI POINT F/INJ,55L,78Kw,5.0,5M,4D SEDAN,FWD,2610mm
429,01/09/2006,02/09/2006,28,Cloverdale_Store,213 Valencia Place,543-535-0184,Cloverdale,South Australia,10/09/2006,28,Cloverdale_Store,213 Valencia Place,543-535-0184,Cloverdale,South Australia,11413,Megan S,543-535-011,,25/04/1958,Manager,F,15228,MAZDA,323,PROTEGE,1997.0,22915.0,1.8L,MULTI POINT F/INJ,55L,92Kw,5.0,5M,4D SEDAN,FWD,2605mm
430,02/09/2006,02/09/2006,24,Hawthorne_Store,4499 Valley Crest,452-535-0188,Hawthorne ,Queensland,07/09/2006,24,Hawthorne_Store,4499 Valley Crest,452-535-0188,Hawthorne ,Queensland,11411,Devin R,543-535-017,,22/02/1958,Manager,M,15229,MAZDA,323,ASTINA,1995.0,31050.0,1.8L,MULTI POINT F/INJ,55L,92Kw,5.0,4A,5D HATCHBACK,FWD,2605mm
431,03/09/2006,03/09/2006,30,Perth_Store,6385 Mark Twain,543-535-0146,Perth ,South Australia,12/09/2006,30,Perth_Store,6385 Mark Twain,543-535-0146,Perth ,South Australia,11416,Katrina B,543-535-015,,29/03/1949,Manager,F,15230,MAZDA,323,PROTEGE,1998.0,22915.0,1.8L,MULTI POINT F/INJ,55L,92Kw,5.0,5M,4D SEDAN,FWD,2605mm
432,04/09/2006,04/09/2006,11,North Ryde_Store,7800 Corrinne Court,543-535-0169,North Ryde,New South Wales,12/09/2006,19,Wollongong_Store,244 Rivewview,543-535-0137,Wollongong,New South Wales,11414,Ian R,543-535-011,,07/03/1958,Manager,M,15220,CHRYSLER,VOYAGER,RG 05 UPGRADE LX,2004.0,62980.0,3.3L,MULTI POINT F/INJ,75L,128Kw,7.0,4A,4D WAGON,FWD,3030mm
433,05/09/2006,06/09/2006,32,Bendigo_Store,6465 Detroit Ave.,543-535-0195,Bendigo ,Victoria,12/09/2006,38,South Melbourne_Store,8915 Woodside Way,229-535-0112,South Melbourne ,Victoria,11415,Randy S,543-535-014,,15/06/1948,Manager,M,15200,CHRYSLER,300C,LE MY06 CRD,2006.0,57990.0,3.0L,DIESEL TURBO F/INJ,71L,160Kw,5.0,5A,4D SEDAN,RWD,3050mm
434,06/09/2006,06/09/2006,33,Cranbourne_Store,626 Bentley Street,543-535-0169,Cranbourne,Victoria,14/09/2006,33,Cranbourne_Store,626 Bentley Street,543-535-0169,Cranbourne,Victoria,11418,Rafael H,543-535-015,,19/02/1949,Manager,M,15204,CHRYSLER,PT CRUISER,MY06 CLASSIC,2005.0,31990.0,2.4L,MULTI POINT F/INJ,57L,105Kw,5.0,4A,5D HATCHBACK,FWD,2616mm
435,07/09/2006,08/09/2006,34,Geelong_Store,5927 Rainbow Dr,543-535-0137,Geelong ,Victoria,10/09/2006,37,Seaford_Store,3981 Augustine Drive,115-535-0183,Seaford ,Victoria,11410,Maurice G,543-535-017,,25/08/1972,Manager,M,15205,CHRYSLER,PT CRUISER,CLASSIC,2001.0,35200.0,2.0L,MULTI POINT F/INJ,57L,104Kw,5.0,5M,5D HATCHBACK,FWD,2616mm
436,08/09/2006,08/09/2006,12,North Sydney_Store,1224 Shoenic,543-535-0117,North Sydney,New South Wales,13/09/2006,12,North Sydney_Store,1224 Shoenic,543-535-0117,North Sydney,New South Wales,11411,Devin R,543-535-017,,22/02/1958,Manager,M,15223,MAZDA,323,PROTEGE,1999.0,20990.0,1.6L,MULTI POINT F/INJ,55L,78Kw,5.0,5M,4D SEDAN,FWD,2610mm
437,09/09/2006,09/09/2006,36,Melton_Store,1873 Mt. Whitney Dr,543-535-0177,Melton,Victoria,17/09/2006,36,Melton_Store,1873 Mt. Whitney Dr,543-535-0177,Melton,Victoria,11418,Rafael H,543-535-015,,19/02/1949,Manager,M,15207,CHRYSLER,300C,LE MY06 SRT8,2006.0,71990.0,6.1L,MULTI POINT F/INJ,71L,317Kw,5.0,5A,4D SEDAN,RWD,3050mm
438,10/09/2006,10/09/2006,37,Seaford_Store,3981 Augustine Drive,115-535-0183,Seaford ,Victoria,15/09/2006,37,Seaford_Store,3981 Augustine Drive,115-535-0183,Seaford ,Victoria,11415,Randy S,543-535-014,,15/06/1948,Manager,M,15205,CHRYSLER,PT CRUISER,CLASSIC,2001.0,35200.0,2.0L,MULTI POINT F/INJ,57L,104Kw,5.0,5M,5D HATCHBACK,FWD,2616mm
439,11/09/2006,12/09/2006,38,South Melbourne_Store,8915 Woodside Way,229-535-0112,South Melbourne ,Victoria,20/09/2006,38,South Melbourne_Store,8915 Woodside Way,229-535-0112,South Melbourne ,Victoria,11416,Katrina B,543-535-015,,29/03/1949,Manager,F,15200,CHRYSLER,300C,LE MY06 CRD,2006.0,57990.0,3.0L,DIESEL TURBO F/INJ,71L,160Kw,5.0,5A,4D SEDAN,RWD,3050mm
440,12/09/2006,12/09/2006,19,Wollongong_Store,244 Rivewview,543-535-0137,Wollongong,New South Wales,20/09/2006,39,Sunbury_Store,8357 Sandy Cove Lane,543-535-0114,Sunbury ,Victoria,11414,Ian R,543-535-011,,07/03/1958,Manager,M,15220,CHRYSLER,VOYAGER,RG 05 UPGRADE LX,2004.0,62980.0,3.3L,MULTI POINT F/INJ,75L,128Kw,7.0,4A,4D WAGON,FWD,3030mm
441,13/09/2006,14/09/2006,40,Warrnambool_Store,9353 Creekside Dr.,543-535-0183,Warrnambool ,Victoria,14/09/2006,1,Alexandria_stroe,3761 N. 14th St,543-535-0162,Alexandria,New South Wales,11418,Rafael H,543-535-015,,19/02/1949,Manager,M,15241,MAZDA,323,ASTINA,1993.0,25715.0,1.8L,MULTI POINT F/INJ,55L,76Kw,5.0,5M,5D HATCHBACK,FWD,2500mm
442,14/09/2006,14/09/2006,1,Alexandria_stroe,3761 N. 14th St,543-535-0162,Alexandria,New South Wales,26/09/2006,13,Port Macquarie_Store,4785 Scott Street,717-535-0164,Port Macquarie,New South Wales,11418,Rafael H,543-535-015,,19/02/1949,Manager,M,15241,MAZDA,323,ASTINA,1993.0,25715.0,1.8L,MULTI POINT F/INJ,55L,76Kw,5.0,5M,5D HATCHBACK,FWD,2500mm
443,15/09/2006,16/09/2006,2,Coffs Harbour_Store,2243 W St.,543-535-0110,Coffs Harbour ,New South Wales,28/09/2006,14,Rhodes_Store,7902 Hudson Ave.,817-535-0185,Rhodes,New South Wales,11415,Randy S,543-535-014,,15/06/1948,Manager,M,15242,MAZDA,323,ASTINA SHADES,2000.0,19715.0,1.6L,MULTI POINT F/INJ,55L,78Kw,5.0,5M,5D HATCHBACK,FWD,2605mm
444,16/09/2006,16/09/2006,3,Darlinghurst_Store,5844 Linden Land,543-535-0184,Darlinghurst,New South Wales,28/09/2006,15,Silverwater_Store,9011 Tank Drive,431-535-0156,Silverwater ,New South Wales,11416,Katrina B,543-535-015,,29/03/1949,Manager,F,15243,MAZDA,323,ASTINA,1996.0,38270.0,2.0L,MULTI POINT F/INJ,55L,104Kw,5.0,5M,5D HATCHBACK,FWD,2605mm
445,17/09/2006,18/09/2006,4,Goulburn_Store,1825 Village Pl.,543-535-0162,Goulburn,New South Wales,06/10/2006,22,East Brisbane_Store,8148 W. Lake Dr.,622-535-0158,East Brisbane ,Queensland,11410,Maurice G,543-535-017,,25/08/1972,Manager,M,15244,MAZDA,323,ASTINA,1998.0,28480.0,1.8L,MULTI POINT F/INJ,55L,92Kw,5.0,4A,5D HATCHBACK,FWD,2605mm
446,18/09/2006,18/09/2006,25,Hervey Bay_Store,8734 Oxford Place,746-535-0186,Hervey Bay,Queensland,10/10/2006,27,Townsville_Store,8211 Leeds Ct.,543-535-0131,Townsville,Queensland,11412,Sydney B,543-535-015,,19/04/1958,Manager,M,15245,MAZDA,323,SUPER DELUXE,1989.0,20210.0,1.6L,MULTI POINT F/INJ,48L,61Kw,5.0,4A,5D HATCHBACK,FWD,2400mm
447,19/09/2006,22/09/2006,6,Lavender Bay_Store,7305 Humphrey Drive,543-535-0151,Lavender Bay,New South Wales,28/09/2006,6,Lavender Bay_Store,7305 Humphrey Drive,543-535-0151,Lavender Bay,New South Wales,11416,Katrina B,543-535-015,,29/03/1949,Manager,F,15246,MAZDA,323,PROTEGE,2003.0,21840.0,1.8L,MULTI POINT F/INJ,55L,92Kw,5.0,4A,4D SEDAN,FWD,2610mm
448,20/09/2006,20/09/2006,7,Malabar_Store,2612 Berry Dr,543-535-0184,Malabar ,New South Wales,02/10/2006,19,Wollongong_Store,244 Rivewview,543-535-0137,Wollongong,New South Wales,11419,Kyle S,543-535-017,,07/02/1949,Manager,M,15247,MAZDA,323,ASTINA,2003.0,21840.0,1.8L,MULTI POINT F/INJ,55L,92Kw,5.0,4A,5D HATCHBACK,FWD,2610mm
449,21/09/2006,22/09/2006,28,Cloverdale_Store,213 Valencia Place,543-535-0184,Cloverdale,South Australia,12/10/2006,10,Newcastle_Store,3839 Northgate Road,543-535-0110,Newcastle ,New South Wales,11412,Sydney B,543-535-015,,19/04/1958,Manager,M,15248,MAZDA,323,SUPER DELUXE,1988.0,19390.0,1.6L,CARB,48L,53Kw,5.0,3A,5D HATCHBACK,FWD,2400mm
450,22/09/2006,22/09/2006,9,Milsons Point_Store,624 Peabody Road,543-535-0164,Milsons Point ,New South Wales,10/10/2006,17,St. Leonards_Store,9666 Northridge Ct.,135-535-0171,St. Leonards,New South Wales,11415,Randy S,543-535-014,,15/06/1948,Manager,M,15249,MAZDA,323,ASTINA SHADES,1998.0,26990.0,1.8L,MULTI POINT F/INJ,55L,92Kw,5.0,5M,5D HATCHBACK,FWD,2605mm
451,23/09/2006,26/09/2006,12,North Sydney_Store,1224 Shoenic,543-535-0117,North Sydney,New South Wales,11/10/2006,10,Newcastle_Store,3839 Northgate Road,543-535-0110,Newcastle ,New South Wales,11414,Ian R,543-535-011,,07/03/1958,Manager,M,15250,MAZDA,323,ASTINA SP,1994.0,30085.0,1.8L,MULTI POINT F/INJ,55L,92Kw,5.0,5M,5D HATCHBACK,FWD,2500mm
452,24/09/2006,25/09/2006,26,Rockhampton_Store,2596 Franklin Canyon Road,543-535-0178,Rockhampton ,Queensland,15/10/2006,26,Rockhampton_Store,2596 Franklin Canyon Road,543-535-0178,Rockhampton ,Queensland,11417,Lacey Z,543-535-017,,26/02/1949,Manager,F,15225,MAZDA,323,ASTINA SHADES,2001.0,20490.0,1.6L,MULTI POINT F/INJ,55L,78Kw,5.0,5M,5D HATCHBACK,FWD,2605mm
453,25/09/2006,26/09/2006,14,Rhodes_Store,7902 Hudson Ave.,817-535-0185,Rhodes,New South Wales,16/10/2006,14,Rhodes_Store,7902 Hudson Ave.,817-535-0185,Rhodes,New South Wales,11412,Sydney B,543-535-015,,19/04/1958,Manager,M,15224,MAZDA,323,ASTINA,1997.0,35700.0,2.0L,MULTI POINT F/INJ,55L,104Kw,5.0,5M,5D HATCHBACK,FWD,2605mm
454,26/09/2006,26/09/2006,13,Port Macquarie_Store,4785 Scott Street,717-535-0164,Port Macquarie,New South Wales,12/10/2006,29,Findon_Store,9111 Rose Ann Ave,543-535-0116,Findon,South Australia,11419,Kyle S,543-535-017,,07/02/1949,Manager,M,15241,MAZDA,323,ASTINA,1993.0,25715.0,1.8L,MULTI POINT F/INJ,55L,76Kw,5.0,5M,5D HATCHBACK,FWD,2500mm
455,27/09/2006,28/09/2006,14,Rhodes_Store,7902 Hudson Ave.,817-535-0185,Rhodes,New South Wales,10/10/2006,24,Hawthorne_Store,4499 Valley Crest,452-535-0188,Hawthorne ,Queensland,11419,Kyle S,543-535-017,,07/02/1949,Manager,M,15242,MAZDA,323,ASTINA SHADES,2000.0,19715.0,1.6L,MULTI POINT F/INJ,55L,78Kw,5.0,5M,5D HATCHBACK,FWD,2605mm
456,28/09/2006,28/09/2006,15,Silverwater_Store,9011 Tank Drive,431-535-0156,Silverwater ,New South Wales,12/10/2006,13,Port Macquarie_Store,4785 Scott Street,717-535-0164,Port Macquarie,New South Wales,11415,Randy S,543-535-014,,15/06/1948,Manager,M,15243,MAZDA,323,ASTINA,1996.0,38270.0,2.0L,MULTI POINT F/INJ,55L,104Kw,5.0,5M,5D HATCHBACK,FWD,2605mm
457,29/09/2006,29/09/2006,13,Port Macquarie_Store,4785 Scott Street,717-535-0164,Port Macquarie,New South Wales,03/10/2006,17,St. Leonards_Store,9666 Northridge Ct.,135-535-0171,St. Leonards,New South Wales,11417,Lacey Z,543-535-017,,26/02/1949,Manager,F,15243,MAZDA,323,ASTINA,1996.0,38270.0,2.0L,MULTI POINT F/INJ,55L,104Kw,5.0,5M,5D HATCHBACK,FWD,2605mm
458,30/09/2006,30/09/2006,17,St. Leonards_Store,9666 Northridge Ct.,135-535-0171,St. Leonards,New South Wales,08/10/2006,25,Hervey Bay_Store,8734 Oxford Place,746-535-0186,Hervey Bay,Queensland,11416,Katrina B,543-535-015,,29/03/1949,Manager,F,15249,MAZDA,323,ASTINA SHADES,1998.0,26990.0,1.8L,MULTI POINT F/INJ,55L,92Kw,5.0,5M,5D HATCHBACK,FWD,2605mm
459,01/10/2006,01/10/2006,18,Sydney_Store,7330 Saddlehill Lane,543-535-0195,Sydney,New South Wales,10/10/2006,18,Sydney_Store,7330 Saddlehill Lane,543-535-0195,Sydney,New South Wales,11413,Megan S,543-535-011,,25/04/1958,Manager,F,15240,MAZDA,323,PROTEGE,2000.0,19715.0,1.6L,MULTI POINT F/INJ,55L,78Kw,5.0,5M,4D SEDAN,FWD,2610mm
460,02/10/2006,02/10/2006,19,Wollongong_Store,244 Rivewview,543-535-0137,Wollongong,New South Wales,18/10/2006,35,Melbourne_Store,5167 Condor Place,543-535-0136,Melbourne ,Victoria,11419,Kyle S,543-535-017,,07/02/1949,Manager,M,15247,MAZDA,323,ASTINA,2003.0,21840.0,1.8L,MULTI POINT F/INJ,55L,92Kw,5.0,4A,5D HATCHBACK,FWD,2610mm
461,03/10/2006,03/10/2006,17,St. Leonards_Store,9666 Northridge Ct.,135-535-0171,St. Leonards,New South Wales,04/10/2006,18,Sydney_Store,7330 Saddlehill Lane,543-535-0195,Sydney,New South Wales,11411,Devin R,543-535-017,,22/02/1958,Manager,M,15243,MAZDA,323,ASTINA,1996.0,38270.0,2.0L,MULTI POINT F/INJ,55L,104Kw,5.0,5M,5D HATCHBACK,FWD,2605mm
462,04/10/2006,04/10/2006,18,Sydney_Store,7330 Saddlehill Lane,543-535-0195,Sydney,New South Wales,07/10/2006,20,Brisbane_Store,7832 Landing Dr,262-535-0112,Brisbane,Queensland,11411,Devin R,543-535-017,,22/02/1958,Manager,M,15243,MAZDA,323,ASTINA,1996.0,38270.0,2.0L,MULTI POINT F/INJ,55L,104Kw,5.0,5M,5D HATCHBACK,FWD,2605mm
463,05/10/2006,06/10/2006,22,East Brisbane_Store,8148 W. Lake Dr.,622-535-0158,East Brisbane ,Queensland,10/10/2006,26,Rockhampton_Store,2596 Franklin Canyon Road,543-535-0178,Rockhampton ,Queensland,11416,Katrina B,543-535-015,,29/03/1949,Manager,F,15244,MAZDA,323,ASTINA,1998.0,28480.0,1.8L,MULTI POINT F/INJ,55L,92Kw,5.0,4A,5D HATCHBACK,FWD,2605mm
464,06/10/2006,07/10/2006,20,Brisbane_Store,7832 Landing Dr,262-535-0112,Brisbane,Queensland,16/10/2006,32,Bendigo_Store,6465 Detroit Ave.,543-535-0195,Bendigo ,Victoria,11411,Devin R,543-535-017,,22/02/1958,Manager,M,15243,MAZDA,323,ASTINA,1996.0,38270.0,2.0L,MULTI POINT F/INJ,55L,104Kw,5.0,5M,5D HATCHBACK,FWD,2605mm
465,07/10/2006,10/10/2006,24,Hawthorne_Store,4499 Valley Crest,452-535-0188,Hawthorne ,Queensland,16/10/2006,30,Perth_Store,6385 Mark Twain,543-535-0146,Perth ,South Australia,11419,Kyle S,543-535-017,,07/02/1949,Manager,M,15242,MAZDA,323,ASTINA SHADES,2000.0,19715.0,1.6L,MULTI POINT F/INJ,55L,78Kw,5.0,5M,5D HATCHBACK,FWD,2605mm
